TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,0,0,4,4
0,0,0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,0,0,6,6
0,0,0,0,0,0,0,0,0,7,7
0,0,0,0,0,0,0,0,0,8,8
0,0,0,0,0,0,0,0,1,9,0
0,0,0,0,0,0,0,0,1,10,1
0,0,0,0,0,0,0,0,1,11,2
0,0,0,0,0,0,0,0,1,12,3
0,0,0,0,0,0,0,0,1,13,4
0,0,0,0,0,0,0,0,1,14,5
0,0,0,0,0,0,0,0,1,15,6
0,0,0,0,0,0,0,0,1,16,7
0,0,0,0,0,0,0,0,2,17,0
0,0,0,0,0,0,0,0,2,18,1
0,0,0,0,0,0,0,0,2,19,2
0,0,0,0,0,0,0,0,2,20,3
0,0,0,0,0,0,0,0,2,21,4
0,0,0,0,0,0,0,0,2,22,5
0,0,0,0,0,0,0,0,2,23,6
0,0,0,0,0,0,0,0,2,24,7
0,0,0,0,0,0,0,1,0,25,0
0,0,0,0,0,0,0,1,0,26,1
0,0,0,0,0,0,0,1,0,27,2
0,0,0,0,0,0,0,1,0,28,3
0,0,0,0,0,0,0,1,0,29,4
0,0,0,0,0,0,0,1,0,30,5
0,0,0,0,0,0,0,1,0,31,6
0,0,0,0,0,0,0,1,0,32,8
0,0,0,0,0,0,0,1,2,33,0
0,0,0,0,0,0,0,1,2,34,1
0,0,0,0,0,0,0,1,2,35,2
0,0,0,0,0,0,0,1,2,36,3
0,0,0,0,0,0,0,1,2,37,4
0,0,0,0,0,0,0,1,2,38,5
0,0,0,0,0,0,0,1,2,39,6
0,0,0,0,0,0,0,2,0,40,0
0,0,0,0,0,0,0,2,0,41,1
0,0,0,0,0,0,0,2,0,42,2
0,0,0,0,0,0,0,2,0,43,3
0,0,0,0,0,0,0,2,0,44,4
0,0,0,0,0,0,0,2,0,45,5
0,0,0,0,0,0,0,2,0,46,6
0,0,0,0,0,0,0,2,0,47,8
0,0,0,0,0,0,0,2,1,48,0
0,0,0,0,0,0,0,2,1,49,1
0,0,0,0,0,0,0,2,1,50,2
0,0,0,0,0,0,0,2,1,51,3
0,0,0,0,0,0,0,2,1,52,4
0,0,0,0,0,0,0,2,1,53,5
0,0,0,0,0,0,0,2,1,54,6
0,0,0,0,0,0,1,0,0,55,0
0,0,0,0,0,0,1,0,0,56,1
0,0,0,0,0,0,1,0,0,57,2
0,0,0,0,0,0,1,0,0,58,3
0,0,0,0,0,0,1,0,0,59,4
0,0,0,0,0,0,1,0,0,60,5
0,0,0,0,0,0,1,0,0,61,7
0,0,0,0,0,0,1,0,0,62,8
0,0,0,0,0,0,1,0,2,63,0
0,0,0,0,0,0,1,0,2,64,1
0,0,0,0,0,0,1,0,2,65,2
0,0,0,0,0,0,1,0,2,66,3
0,0,0,0,0,0,1,0,2,67,4
0,0,0,0,0,0,1,0,2,68,5
0,0,0,0,0,0,1,0,2,69,7
0,0,0,0,0,0,1,1,2,70,0
0,0,0,0,0,0,1,1,2,71,1
0,0,0,0,0,0,1,1,2,72,2
0,0,0,0,0,0,1,1,2,73,3
0,0,0,0,0,0,1,1,2,74,4
0,0,0,0,0,0,1,1,2,75,5
0,0,0,0,0,0,1,2,0,76,0
0,0,0,0,0,0,1,2,0,77,1
0,0,0,0,0,0,1,2,0,78,2
0,0,0,0,0,0,1,2,0,79,3
0,0,0,0,0,0,1,2,0,80,4
0,0,0,0,0,0,1,2,0,81,5
0,0,0,0,0,0,1,2,0,82,8
0,0,0,0,0,0,1,2,1,83,0
0,0,0,0,0,0,1,2,1,84,1
0,0,0,0,0,0,1,2,1,85,2
0,0,0,0,0,0,1,2,1,86,3
0,0,0,0,0,0,1,2,1,87,4
0,0,0,0,0,0,1,2,1,88,5
0,0,0,0,0,0,1,2,2,89,0
0,0,0,0,0,0,1,2,2,90,1
0,0,0,0,0,0,1,2,2,91,2
0,0,0,0,0,0,1,2,2,92,3
0,0,0,0,0,0,1,2,2,93,4
0,0,0,0,0,0,1,2,2,94,5
0,0,0,0,0,0,2,0,0,95,0
0,0,0,0,0,0,2,0,0,96,1
0,0,0,0,0,0,2,0,0,97,2
0,0,0,0,0,0,2,0,0,98,3
0,0,0,0,0,0,2,0,0,99,4
0,0,0,0,0,0,2,0,0,100,5
0,0,0,0,0,0,2,0,0,101,7
0,0,0,0,0,0,2,0,0,102,8
0,0,0,0,0,0,2,0,1,103,0
0,0,0,0,0,0,2,0,1,104,1
0,0,0,0,0,0,2,0,1,105,2
0,0,0,0,0,0,2,0,1,106,3
0,0,0,0,0,0,2,0,1,107,4
0,0,0,0,0,0,2,0,1,108,5
0,0,0,0,0,0,2,0,1,109,7
0,0,0,0,0,0,2,1,0,110,0
0,0,0,0,0,0,2,1,0,111,1
0,0,0,0,0,0,2,1,0,112,2
