TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action,numVisit,qvalue
0,0,0,0,0,0,0,0,0,0,0,7510,0.0
0,0,0,0,0,0,0,0,0,0,1,7509,0.0
0,0,0,0,0,0,0,0,0,0,2,7509,0.0
0,0,0,0,0,0,0,0,0,0,3,7509,0.0
0,0,0,0,0,0,0,0,0,0,4,7509,0.0
0,0,0,0,0,0,0,0,0,0,5,7509,0.0
0,0,0,0,0,0,0,0,0,0,6,7510,0.0
0,0,0,0,0,0,0,0,0,0,7,7510,0.0
0,0,0,0,0,0,0,0,0,0,8,7510,0.0
0,0,0,0,0,0,0,0,1,1,0,937,0.0
0,0,0,0,0,0,0,0,1,1,1,936,0.0
0,0,0,0,0,0,0,0,1,1,2,936,0.0
0,0,0,0,0,0,0,0,1,1,3,936,0.0
0,0,0,0,0,0,0,0,1,1,4,937,0.0
0,0,0,0,0,0,0,0,1,1,5,936,0.0
0,0,0,0,0,0,0,0,1,1,6,936,0.0
0,0,0,0,0,0,0,0,1,1,7,937,0.0
0,0,0,0,0,0,0,0,2,2,0,0,0.0
0,0,0,0,0,0,0,0,2,2,1,0,0.0
0,0,0,0,0,0,0,0,2,2,2,0,0.0
0,0,0,0,0,0,0,0,2,2,3,0,0.0
0,0,0,0,0,0,0,0,2,2,4,0,0.0
0,0,0,0,0,0,0,0,2,2,5,0,0.0
0,0,0,0,0,0,0,0,2,2,6,0,0.0
0,0,0,0,0,0,0,0,2,2,7,0,0.0
0,0,0,0,0,0,0,1,0,3,0,936,0.0
0,0,0,0,0,0,0,1,0,3,1,937,0.0
0,0,0,0,0,0,0,1,0,3,2,937,0.0
0,0,0,0,0,0,0,1,0,3,3,936,0.0
0,0,0,0,0,0,0,1,0,3,4,936,0.0
0,0,0,0,0,0,0,1,0,3,5,937,0.0
0,0,0,0,0,0,0,1,0,3,6,936,0.0
0,0,0,0,0,0,0,1,0,3,8,936,0.0
0,0,0,0,0,0,0,1,2,4,0,134,0.0
0,0,0,0,0,0,0,1,2,4,1,134,0.0
0,0,0,0,0,0,0,1,2,4,2,134,0.0
0,0,0,0,0,0,0,1,2,4,3,134,0.0
0,0,0,0,0,0,0,1,2,4,4,134,0.0
0,0,0,0,0,0,0,1,2,4,5,135,0.0
0,0,0,0,0,0,0,1,2,4,6,134,0.0
0,0,0,0,0,0,0,2,0,5,0,0,0.0
0,0,0,0,0,0,0,2,0,5,1,0,0.0
0,0,0,0,0,0,0,2,0,5,2,0,0.0
0,0,0,0,0,0,0,2,0,5,3,0,0.0
0,0,0,0,0,0,0,2,0,5,4,0,0.0
0,0,0,0,0,0,0,2,0,5,5,0,0.0
0,0,0,0,0,0,0,2,0,5,6,0,0.0
0,0,0,0,0,0,0,2,0,5,8,0,0.0
0,0,0,0,0,0,0,2,1,6,0,134,0.0
0,0,0,0,0,0,0,2,1,6,1,134,0.0
0,0,0,0,0,0,0,2,1,6,2,135,0.0
0,0,0,0,0,0,0,2,1,6,3,134,0.0
0,0,0,0,0,0,0,2,1,6,4,134,0.0
0,0,0,0,0,0,0,2,1,6,5,134,0.0
0,0,0,0,0,0,0,2,1,6,6,134,0.0
0,0,0,0,0,0,1,0,0,7,0,936,0.0
0,0,0,0,0,0,1,0,0,7,1,936,0.0
0,0,0,0,0,0,1,0,0,7,2,937,0.0
0,0,0,0,0,0,1,0,0,7,3,937,0.0
0,0,0,0,0,0,1,0,0,7,4,937,0.0
0,0,0,0,0,0,1,0,0,7,5,936,0.0
0,0,0,0,0,0,1,0,0,7,7,936,0.0
0,0,0,0,0,0,1,0,0,7,8,936,0.0
0,0,0,0,0,0,1,0,2,8,0,134,0.0
0,0,0,0,0,0,1,0,2,8,1,134,0.0
0,0,0,0,0,0,1,0,2,8,2,134,0.0
0,0,0,0,0,0,1,0,2,8,3,134,0.0
0,0,0,0,0,0,1,0,2,8,4,134,0.0
0,0,0,0,0,0,1,0,2,8,5,134,0.0
0,0,0,0,0,0,1,0,2,8,7,134,0.0
0,0,0,0,0,0,1,1,2,9,0,126,0.6999999999999995
0,0,0,0,0,0,1,1,2,9,1,18,0.0
0,0,0,0,0,0,1,1,2,9,2,17,0.6999962886362963
0,0,0,0,0,0,1,1,2,9,3,18,0.0
0,0,0,0,0,0,1,1,2,9,4,17,0.6999955143361559
0,0,0,0,0,0,1,1,2,9,5,72,0.69998825380483
0,0,0,0,0,0,1,2,0,10,0,134,0.0
0,0,0,0,0,0,1,2,0,10,1,134,0.0
0,0,0,0,0,0,1,2,0,10,2,134,0.0
0,0,0,0,0,0,1,2,0,10,3,134,0.0
0,0,0,0,0,0,1,2,0,10,4,135,0.0
0,0,0,0,0,0,1,2,0,10,5,134,0.0
0,0,0,0,0,0,1,2,0,10,8,134,0.0
0,0,0,0,0,0,1,2,1,11,0,16,0.0
0,0,0,0,0,0,1,2,1,11,1,183,0.6999999999999997
0,0,0,0,0,0,1,2,1,11,2,17,0.0
0,0,0,0,0,0,1,2,1,11,3,17,0.0
0,0,0,0,0,0,1,2,1,11,4,17,0.699996845604219
0,0,0,0,0,0,1,2,1,11,5,17,0.0
0,0,0,0,0,0,1,2,2,12,0,0,0.0
0,0,0,0,0,0,1,2,2,12,1,0,0.0
0,0,0,0,0,0,1,2,2,12,2,0,0.0
0,0,0,0,0,0,1,2,2,12,3,0,0.0
0,0,0,0,0,0,1,2,2,12,4,0,0.0
0,0,0,0,0,0,1,2,2,12,5,0,0.0
0,0,0,0,0,0,2,0,0,13,0,0,0.0
0,0,0,0,0,0,2,0,0,13,1,0,0.0
0,0,0,0,0,0,2,0,0,13,2,0,0.0
0,0,0,0,0,0,2,0,0,13,3,0,0.0
0,0,0,0,0,0,2,0,0,13,4,0,0.0
0,0,0,0,0,0,2,0,0,13,5,0,0.0
0,0,0,0,0,0,2,0,0,13,7,0,0.0
0,0,0,0,0,0,2,0,0,13,8,0,0.0
0,0,0,0,0,0,2,0,1,14,0,134,0.0
0,0,0,0,0,0,2,0,1,14,1,134,0.0
0,0,0,0,0,0,2,0,1,14,2,134,0.0
0,0,0,0,0,0,2,0,1,14,3,134,0.0
0,0,0,0,0,0,2,0,1,14,4,135,0.0
0,0,0,0,0,0,2,0,1,14,5,134,0.0
0,0,0,0,0,0,2,0,1,14,7,134,0.0
0,0,0,0,0,0,2,1,0,15,0,134,0.0
0,0,0,0,0,0,2,1,0,15,1,134,0.0
0,0,0,0,0,0,2,1,0,15,2,135,0.0
0,0,0,0,0,0,2,1,0,15,3,134,0.0
0,0,0,0,0,0,2,1,0,15,4,134,0.0
0,0,0,0,0,0,2,1,0,15,5,134,0.0
0,0,0,0,0,0,2,1,0,15,8,134,0.0
0,0,0,0,0,0,2,1,1,16,0,15,0.6999799314646618
0,0,0,0,0,0,2,1,1,16,1,15,0.0
0,0,0,0,0,0,2,1,1,16,2,15,0.6999865715700007
0,0,0,0,0,0,2,1,1,16,3,15,0.6999915502960902
0,0,0,0,0,0,2,1,1,16,4,192,0.6999999999999997
0,0,0,0,0,0,2,1,1,16,5,15,0.0
0,0,0,0,0,0,2,1,2,17,0,0,0.0
0,0,0,0,0,0,2,1,2,17,1,0,0.0
0,0,0,0,0,0,2,1,2,17,2,0,0.0
0,0,0,0,0,0,2,1,2,17,3,0,0.0
0,0,0,0,0,0,2,1,2,17,4,0,0.0
0,0,0,0,0,0,2,1,2,17,5,0,0.0
0,0,0,0,0,0,2,2,1,18,0,0,0.0
0,0,0,0,0,0,2,2,1,18,1,0,0.0
0,0,0,0,0,0,2,2,1,18,2,0,0.0
0,0,0,0,0,0,2,2,1,18,3,0,0.0
0,0,0,0,0,0,2,2,1,18,4,0,0.0
0,0,0,0,0,0,2,2,1,18,5,0,0.0
0,0,0,0,0,1,0,0,0,19,0,936,0.0
0,0,0,0,0,1,0,0,0,19,1,937,0.0
0,0,0,0,0,1,0,0,0,19,2,936,0.0
0,0,0,0,0,1,0,0,0,19,3,936,0.0
0,0,0,0,0,1,0,0,0,19,4,936,0.0
0,0,0,0,0,1,0,0,0,19,6,936,0.0
0,0,0,0,0,1,0,0,0,19,7,936,0.0
0,0,0,0,0,1,0,0,0,19,8,937,0.0
0,0,0,0,0,1,0,0,2,20,0,134,0.0
0,0,0,0,0,1,0,0,2,20,1,134,0.0
0,0,0,0,0,1,0,0,2,20,2,135,0.0
0,0,0,0,0,1,0,0,2,20,3,134,0.0
0,0,0,0,0,1,0,0,2,20,4,134,0.0
0,0,0,0,0,1,0,0,2,20,6,134,0.0
0,0,0,0,0,1,0,0,2,20,7,134,0.0
0,0,0,0,0,1,0,1,2,21,0,18,0.6999964884347387
0,0,0,0,0,1,0,1,2,21,1,18,0.0
0,0,0,0,0,1,0,1,2,21,2,18,0.0
0,0,0,0,0,1,0,1,2,21,3,18,0.0
0,0,0,0,0,1,0,1,2,21,4,178,0.6999999999999917
0,0,0,0,0,1,0,1,2,21,6,18,0.0
0,0,0,0,0,1,0,2,0,22,0,134,0.0
0,0,0,0,0,1,0,2,0,22,1,134,0.0
0,0,0,0,0,1,0,2,0,22,2,134,0.0
0,0,0,0,0,1,0,2,0,22,3,134,0.0
0,0,0,0,0,1,0,2,0,22,4,134,0.0
0,0,0,0,0,1,0,2,0,22,6,134,0.0
0,0,0,0,0,1,0,2,0,22,8,134,0.0
0,0,0,0,0,1,0,2,1,23,0,37,-0.7114277079971626
0,0,0,0,0,1,0,2,1,23,1,37,-0.014277886573310222
0,0,0,0,0,1,0,2,1,23,2,140,0.0
0,0,0,0,0,1,0,2,1,23,3,39,-0.7138913313432427
0,0,0,0,0,1,0,2,1,23,4,46,-0.0026001865645780553
0,0,0,0,0,1,0,2,1,23,6,37,-0.7125273781551777
0,0,0,0,0,1,0,2,2,24,0,0,0.0
0,0,0,0,0,1,0,2,2,24,1,0,0.0
0,0,0,0,0,1,0,2,2,24,2,0,0.0
0,0,0,0,0,1,0,2,2,24,3,0,0.0
0,0,0,0,0,1,0,2,2,24,4,0,0.0
0,0,0,0,0,1,0,2,2,24,6,0,0.0
0,0,0,0,0,1,1,0,2,25,0,177,0.6999999999999964
0,0,0,0,0,1,1,0,2,25,1,18,0.0
0,0,0,0,0,1,1,0,2,25,2,19,0.0
0,0,0,0,0,1,1,0,2,25,3,18,0.0
0,0,0,0,0,1,1,0,2,25,4,18,0.6999989821271106
0,0,0,0,0,1,1,0,2,25,7,18,0.0
0,0,0,0,0,1,1,2,0,26,0,20,0.0
0,0,0,0,0,1,1,2,0,26,1,21,0.6999976270477488
0,0,0,0,0,1,1,2,0,26,2,20,0.0
0,0,0,0,0,1,1,2,0,26,3,20,0.0
0,0,0,0,0,1,1,2,0,26,4,167,0.6999999999999793
0,0,0,0,0,1,1,2,0,26,8,20,0.0
0,0,0,0,0,1,1,2,2,27,0,15,0.0
0,0,0,0,0,1,1,2,2,27,1,14,0.0
0,0,0,0,0,1,1,2,2,27,2,15,0.0
0,0,0,0,0,1,1,2,2,27,3,15,0.0
0,0,0,0,0,1,1,2,2,27,4,14,0.0
0,0,0,0,0,1,2,0,0,28,0,134,0.0
0,0,0,0,0,1,2,0,0,28,1,134,0.0
0,0,0,0,0,1,2,0,0,28,2,134,0.0
0,0,0,0,0,1,2,0,0,28,3,134,0.0
0,0,0,0,0,1,2,0,0,28,4,135,0.0
0,0,0,0,0,1,2,0,0,28,7,134,0.0
0,0,0,0,0,1,2,0,0,28,8,134,0.0
0,0,0,0,0,1,2,0,1,29,0,28,0.0002083275308903676
0,0,0,0,0,1,2,0,1,29,1,28,-0.7113892099040455
0,0,0,0,0,1,2,0,1,29,2,170,0.6999999999998707
0,0,0,0,0,1,2,0,1,29,3,28,-0.013891269530465628
0,0,0,0,0,1,2,0,1,29,4,27,0.002834019596226367
0,0,0,0,0,1,2,0,1,29,7,28,-0.7138468000084409
0,0,0,0,0,1,2,0,2,30,0,0,0.0
0,0,0,0,0,1,2,0,2,30,1,0,0.0
0,0,0,0,0,1,2,0,2,30,2,0,0.0
0,0,0,0,0,1,2,0,2,30,3,0,0.0
0,0,0,0,0,1,2,0,2,30,4,0,0.0
